name	country	code	lat	lng
Chumbicha	Argentina	ARG	-28.86662432990	-66.23330631680
Chumikan	Russia	RUS	54.71139449990	135.31451410600
Chumphon	Thailand	THA	10.51267742810	99.18721675520
Chuncheon	Korea, South	KOR	37.87470237130	127.73415645300
Chuquicamata	Chile	CHL	-22.31999550500	-68.92998925950
Churchill	Canada	CAN	58.76598533030	-94.16599410170
Churchill Falls	Canada	CAN	53.52640850740	-63.98067895670
Chur	Switzerland	CHE	46.85002016100	9.50002966171
Chusovoy	Russia	RUS	58.29343019520	57.81304968140
Chuxiong	China	CHN	25.03641623840	101.54557409600
Ciego de Avila	Cuba	CUB	21.83999635720	-78.76194726740
Cienaga	Colombia	COL	11.01039898570	-74.25000044930
Cienfuegos	Cuba	CUB	22.14444805800	-80.44029443530
Cilacap	Indonesia	IDN	-7.71881956089	109.01540238300
Cincinnati	United States	USA	39.16188478500	-84.45692264990
Circle	United States	USA	65.82589031900	-144.06051965500
Cirebon	Indonesia	IDN	-6.73329832065	108.56664424500
Ciudad Altamirano	Mexico	MEX	18.32039206840	-100.65001692900
Ciudad Bolivar	Venezuela	VEN	8.09998231906	-63.60000451830
Ciudad Camargo	Mexico	MEX	27.69041444800	-105.17005110900
Ciudad Constitucion	Mexico	MEX	25.04000775040	-111.65999088700
Ciudad Cortes	Costa Rica	CRI	8.96036907850	-83.53000248380
Ciudad del Carmen	Mexico	MEX	18.65365928380	-91.82448019070
Ciudad del Este	Paraguay	PRY	-25.51669960650	-54.61605676430
Ciudad Guayana	Venezuela	VEN	8.37001751600	-62.61998681810
Ciudad Guzman	Mexico	MEX	19.71041058250	-103.46000044900
Ciudad Hidalgo	Mexico	MEX	19.67997316380	-100.56999597300
Ciudad Juarez	Mexico	MEX	31.69037701320	-106.49004805700
Ciudad Madero	Mexico	MEX	22.31890769350	-97.83610599950
Ciudad Mante	Mexico	MEX	22.73335268040	-98.95001733580
Ciudad Obregon	Mexico	MEX	27.46660381980	-109.92498051100
Ciudad Valles	Mexico	MEX	21.97998781230	-99.02001306330
Ciudad Victoria	Mexico	MEX	23.71995912580	-99.12998051130
Civitavecchia	Italy	ITA	42.10041343080	11.79999263370
Clare	Australia	AUS	-33.83288450240	138.60000484100
Clarksburg	United States	USA	39.28327272450	-80.33691573250
Clarksville	United States	USA	36.53008160300	-87.35943282240
Cleburne	United States	USA	32.35152528790	-97.39248966650
Clermont-Ferrand	French Republic	FRA	45.77998211580	3.08000809593
Cleveland	United States	USA	41.46998679510	-81.69499821140
Cliza	Bolivia	BOL	-17.58999998080	-65.92999149740
Cloncurry	Australia	AUS	-20.69999102900	140.49999222700
Clovis	United States	USA	34.40506919250	-103.20477055000
Cluj-Napoca	Romania	ROU	46.78842185370	23.59844559600
Coalcoman	Mexico	MEX	18.78038983050	-103.14996769400
Coari	Brazil	BRA	-4.07997190462	-63.12998152840
Coatzacoalcos	Mexico	MEX	18.12040427550	-94.42000960470
Cobalt	Canada	CAN	47.38370851550	-79.68331221690
Coban	Guatemala	GTM	15.46999757790	-90.37999780450
Cobija	Bolivia	BOL	-11.03334592810	-68.73330875820
